City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
316,Killybegs,IE,54.6333,-8.45,50.56,88,98,10.6,overcast clouds
317,Kiunga,PG,-6.1219,141.2906,87.21,65,72,3.98,broken clouds
318,Borovoy,RU,55.4333,86.0833,58.28,51,40,13.42,scattered clouds
319,Launceston,AU,-41.45,147.1667,59.14,68,63,4.61,broken clouds
320,Collie,AU,-33.3667,116.15,59.41,82,63,11.12,moderate rain
321,Tautira,PF,-17.7333,-149.15,79.21,76,22,13.2,few clouds
322,Chicama,PE,-7.8447,-79.1469,61.34,84,8,6.38,clear sky
323,Samarai,PG,-10.6167,150.6667,83.07,72,17,8.55,few clouds
324,Yulara,AU,-25.2406,130.9889,70.84,29,100,9.46,overcast clouds
325,Kologriv,RU,58.8275,44.3178,32.31,90,100,10.0,light snow
326,Venezuela,VE,8.0,-66.0,77.14,77,99,14.43,overcast clouds
327,Mackenzie,CA,55.2999,-123.1698,64.62,22,0,8.05,clear sky
328,Karratha,AU,-20.7377,116.8463,72.79,77,100,6.87,overcast clouds
329,Lithakia,GR,37.7167,20.8333,58.37,94,40,0.0,scattered clouds
330,Fayaoue,NC,-20.65,166.5333,78.91,83,11,16.42,few clouds
331,Saint Anthony,US,45.0205,-93.218,52.66,59,100,3.44,overcast clouds
332,Maniitsoq,GL,65.4167,-52.9,32.0,98,100,32.57,snow
333,Graham,US,47.0529,-122.2943,65.32,54,0,11.5,clear sky
334,Hauterive,FR,46.0901,3.4459,68.76,90,84,4.09,light rain
335,Nanortalik,GL,60.1432,-45.2371,34.84,89,83,11.79,light snow
336,Mehendiganj,BD,22.8167,90.5333,88.29,62,10,3.65,clear sky
337,Westport,US,41.1415,-73.3579,72.48,91,20,6.91,few clouds
338,San Mateo,US,37.4499,-122.3511,63.68,72,0,27.63,mist
339,Rostovka,RU,55.3842,71.8891,53.47,56,16,17.54,few clouds
340,Buraydah,SA,26.326,43.975,81.05,12,0,11.95,clear sky
341,Dolores,AR,-36.3132,-57.6792,48.58,82,86,7.83,overcast clouds
342,Qaqortoq,GL,60.7167,-46.0333,34.36,87,99,8.88,overcast clouds
343,Salalah,OM,17.0151,54.0924,82.49,78,20,4.61,few clouds
